sep=,
Date,HistVol  
2021-01-12 00:00:00 GMT,132.56 
2021-01-12 00:00:00 GMT,132.56 
2021-01-12 01:00:00 GMT,133.32 
2021-01-12 02:00:00 GMT,133.04 
2021-01-12 03:00:00 GMT,133.32 
2021-01-12 04:00:00 GMT,133.33 
2021-01-12 05:00:00 GMT,133.54 
2021-01-12 06:00:00 GMT,133.41 
2021-01-12 07:00:00 GMT,133.65 
2021-01-12 08:00:00 GMT,133.65 
2021-01-12 09:00:00 GMT,133.78 
2021-01-12 10:00:00 GMT,134.08 
2021-01-12 11:00:00 GMT,134.08 
2021-01-12 12:00:00 GMT,134.60 
2021-01-12 13:00:00 GMT,134.66 
2021-01-12 14:00:00 GMT,134.69 
2021-01-12 15:00:00 GMT,137.04 
2021-01-12 16:00:00 GMT,137.06 
2021-01-12 17:00:00 GMT,137.04 
2021-01-12 18:00:00 GMT,138.04 
2021-01-12 19:00:00 GMT,138.03 
2021-01-12 20:00:00 GMT,138.01 
2021-01-12 21:00:00 GMT,138.09 
2021-01-12 22:00:00 GMT,138.17 
2021-01-12 23:00:00 GMT,138.24 
2021-01-13 00:00:00 GMT,138.86 
2021-01-13 01:00:00 GMT,138.88 
2021-01-13 02:00:00 GMT,140.95 
2021-01-13 03:00:00 GMT,141.34 
2021-01-13 04:00:00 GMT,141.35 
2021-01-13 05:00:00 GMT,141.58 
2021-01-13 06:00:00 GMT,141.87 
2021-01-13 07:00:00 GMT,141.89 
2021-01-13 08:00:00 GMT,142.04 
2021-01-13 09:00:00 GMT,143.10 
2021-01-13 10:00:00 GMT,143.17 
2021-01-13 11:00:00 GMT,143.19 
2021-01-13 12:00:00 GMT,143.40 
2021-01-13 13:00:00 GMT,143.59 
2021-01-13 14:00:00 GMT,143.60 
2021-01-13 15:00:00 GMT,143.67 
2021-01-13 16:00:00 GMT,143.69 
2021-01-13 17:00:00 GMT,143.81 
2021-01-13 18:00:00 GMT,143.78 
2021-01-13 19:00:00 GMT,143.74 
2021-01-13 20:00:00 GMT,144.33 
2021-01-13 21:00:00 GMT,144.26 
2021-01-13 22:00:00 GMT,144.29 
2021-01-13 23:00:00 GMT,144.97 
2021-01-14 00:00:00 GMT,144.95 
2021-01-14 01:00:00 GMT,144.85 
2021-01-14 02:00:00 GMT,144.88 
2021-01-14 03:00:00 GMT,144.95 
2021-01-14 04:00:00 GMT,144.79 
2021-01-14 05:00:00 GMT,144.86 
2021-01-14 06:00:00 GMT,144.96 
2021-01-14 07:00:00 GMT,144.95 
2021-01-14 08:00:00 GMT,144.87 
2021-01-14 09:00:00 GMT,144.96 
2021-01-14 10:00:00 GMT,144.52 
2021-01-14 11:00:00 GMT,144.62 
